,acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes,year,Address
9220,906939,2001-07-20,NJ,0,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Water slide - undefined,waterslide,WhiteWater West Industries Ltd.,1,28.0,U,Patron felt left arm discomfort after exiting the ride.,Left Arm Pain,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
11319,898183,2000-07-13,MD,Largo,F,Maryland Division of Labor & Industry,Amusement park,recreation,go-kart,Go-kart,go kart,0,1,0.0,F,0,0,0,Unknown (not enough info),False,False,False,0,2000,"Largo, MD"
5761,910035,2003-07-02,NJ,Ocean City,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Tube slide,tube slide,Surf Coaster,1,10.0,U,Guest was sliding down the gang slide in to the activity pool when her tube flipped over. She fell into the side wall hitting her shoulder on the wall. Guest walked to first aid and complained of a sore shoulder and neck. Guest treated in first aid and tr,Sore shoulder and neck,0,"Fall: patron fell off inner tube, mat or board",False,False,False,Investigated by State Officials,2003,"Ocean City, NJ"
1959,917581,2006-06-16,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Track ride,dark ride,In-house,1,65.0,M,Patron had a seizure while on the ride. Patron had a stroke on year ago.,0,0,Illness: Seizure or LOC,False,False,False,0,2006,"Anaheim, CA"
1649,914960,2006-07-20,NJ,Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,Zyklon,Pinfari,1,0.0,U,"Metal burrs built up in area where chain dog slides down onto chain, not allowing for proper hookup.",0,0,Unknown (not enough info),True,False,False,"Product failure, Operator error",2006,"Wildwood, NJ"
7866,910467,2002-06-01,NJ,N. Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Rotor/gravitron,Gravitron/Starship,"Wisdom Industries, Ltd.",1,7.0,F,"Guest states while on ride when it was coming to end, the sled drop, the sled dropped on the back of her right ankle/foot.",Contusion,0,Entrapment or pinch-point,False,False,False,0,2002,"N. Wildwood, NJ"
863,916450,2007-06-14,TX,0,F,Texas Dept. of Insurance,Water park,water park,water slide,Water slide - undefined,waterslide,0,1,21.0,M,Laceration to lower lip and 3 broken teeth,Guest hit the head of the person in front of him as they went in the splash pool.,0,Collision: patrons collided (participatory),False,False,False,0,2007,"0, TX"
2835,916618,2005-08-03,PA,0,F,Pennsylvania Dept. of Agriculture,Amusement park,water park,water slide,Water slide - undefined,waterslide,0,1,36.0,M,Patron fell out of the tube and hit his finger on the bottom.,Left ring finger dislocated/fractured,0,"Fall: patron fell off inner tube, mat or board",False,False,False,0,2005,"0, PA"
1131,916934,2007-01-05,FL,0,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,0,1,23.0,F,Twenty three year old female injured while operating kart on track when struck by another kart.,0,0,Collision: patron-controlled vehicles,False,False,False,PATRON-IMPROPER OPERATION,2007,"0, FL"
10372,898339,2001-02-01,CA,Los Angeles,F,California Division of Occupational Safety and Health,Other,amusement ride,cars & track rides,Train/tram,funicular railway,Lift Engineering,9,0.0,U,"Two trains collided, causing many injuries.","6 critically injured, 9 minor.",0,Collision: operator-controlled vehicles,True,False,False,Cable broke for one of *** cable cars and crashed into other car.  Division had no jurisdiction over this ride.,2001,"Los Angeles, CA"
2900,912321,2005-07-28,MI,Royal Oaks,F,Michigan Dept. of Labor and Economic Growth,Zoo or museum,amusement ride,cars & track rides,Train/tram,train,0,1,53.0,M,"Employee received lacerations on bridge of nose, bruises and scrapes on his shoulder, forearm, and knee.",0,0,Employee injured,False,True,True,The gate that was accessed has been locked.,2005,"Royal Oaks, MI"
3796,911609,2004-10-24,TX,0,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,17.0,M,Struck against lap bar,Contusion,0,Impact: hit something within ride vehicle,False,False,False,0,2004,"0, TX"
3057,916679,2005-07-17,PA,0,F,Pennsylvania Dept. of Agriculture,Amusement park,amusement ride,water ride,Shoot the chute,shoot the chute,"O.D. Hopkins Associates, Inc.",1,41.0,M,Patron stated that the sudden stop at the bottom of the ride caused a blunt force trauma.,Right ribs torn cartilage,0,Abrupt stop/drop/lurch,False,False,False,0,2005,"0, PA"
9856,907335,2001-06-14,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Bumper car,bumper cars,Bertazzon 3B SLR,1,5.0,F,Upon completion of ride patron opened her lap to exit. The released lap bar was not opened all the way when it returned pinching her thumb.,Cut on left thumb,0,Load/Unload: hit or pinched by restraint,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
10733,905160,2000-08-21,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,recreation,go-kart,Go-kart,Formula K,"Formula K Raceway, Inc.",1,9.0,F,"Guest and guest's guardian stated that she was hit from behind while riding the go karts, causing her to allegedly hurt her neck.",Contusion,0,Collision: patron-controlled vehicles,False,False,False,Rider Hit by Others,2000,"0, NJ"
9410,907059,2001-07-09,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,water park,aquatic play,Aquatic play area,water play structure,SCS Interactive,1,11.0,F,Guest guardian states that guest was under the bucket when the water spilled onto her. Guest fell striking head on a bar and leg on the deck.,Contusion,0,Fall: in climb or play area,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
10199,909326,2001-05-12,CA,Vallejo,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Trabant,Trabant/Wipe Out,"Chance Manufacturing, Inc.",1,42.0,F,"Lap bar restraint opened during ride cycle on ***, causing patron to be ejected.",Hospitalized with head injury requiring 8-10 stitches; contusions to right arm and right leg; strained ligaments in right knee.,https://saferparksdata.org/sites/default/files/accident_reports/CA_909326.pdf,Fall: ejection/fall from ride,True,False,False,"DOSH found that several factors contributed to the cause of the accident including:  incorrectly wired deadman switch, emergency lap bar release valve incorrectly plumbed, and a lack of air behind the lock pawl.",2001,"Vallejo, CA"
12194,897509,2000-02-13,FL,Dania Bch.,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,0,1,50.0,F,50yof lost control/hit/belt broke,Unk,0,Collision: patron-controlled vehicles,False,False,False,0,2000,"Dania Bch., FL"
9691,898445,2001-06-25,CA,0,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Water slide - undefined,waterslide,WhiteWater West Industries Ltd.,1,22.0,U,Guest was riding with spouse and claims she hit her head on the inside of the tube.,Complained of head and neck pain.  Transported to ER.,0,Impact: hit something in participatory attraction,False,False,False,0,2001,"0, CA"
146,918076,2008-04-19,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Spinning cups/tubs,tea cups,Arrow Dynamics,1,4.0,F,Guest ring finger (left) was caught in the exit gate.,finger injury,0,Entrapment or pinch-point,False,False,False,0,2008,"Buena Park, CA"
7068,910942,2002-07-24,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,inverted coaster,Bolliger & Mabillard,1,20.0,F,"Patron complained of saftey harness holding her in ride, hurt her ribcage area.",Rib Discomfort,0,Restraint too tight,False,False,False,0,2002,"Jackson, NJ"
11995,900545,2000-05-27,TX,0,F,Texas Dept. of Insurance,Water park,water park,water slide,Water slide - undefined,waterslide,0,1,38.0,M,Reached over slide,Laceration,0,Impact: extremity hit something outside carrier,False,False,False,0,2000,"0, TX"
9686,907249,2001-06-26,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,RC48,Pinfari,1,8.0,M,Guest states that when on ride his head went back and struck seat.,Contusion,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
2647,916603,2005-08-21,PA,0,F,Pennsylvania Dept. of Agriculture,Water park,amusement ride,water ride,Flume ride,flume ride,"O.D. Hopkins Associates, Inc.",1,17.0,F,Patron was sitting in the back when the boat hit the bottom of the hill. She fell sideways against the boat and hurt her arm and elbow.,"Water in elbow, could not straighten it",0,Impact: hit something within ride vehicle,False,False,False,0,2005,"0, PA"
9264,906965,2001-07-17,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,RC48,Pinfari,1,38.0,F,"Guest states when the ride stopped she was thrown forward, struck her left knee on the front, and her right knee folded under itself.",Contusion,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
4538,919977,2004-07-02,CA,San Jose,F,California Division of Occupational Safety and Health,Water park,water park,water slide,Speed slide,speed slide,Surf Coaster,1,0.0,U,Unknown,Unknown,0,Unknown (not enough info),False,False,False,0,2004,"San Jose, CA"
11870,906123,2000-06-10,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,water park,water slide,Speed slide,speed slide,Surf Coaster,1,42.0,F,"Guest rode slide and entered splash pool normally. Upon entering splash pool, guest struck another rider who had not exited pool. Guest struck her chin against other rider's head. Other rider was not injured, but did accompany injured to fi",Injured chin,0,Collision: patrons collided (participatory),False,False,False,Operator error,2000,"0, NJ"
4834,911739,2004-05-15,TX,0,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,13.0,M,At exit of ride guest jumped to hit fence and cut hand,Laceration,0,Injured in queue or exit,False,False,False,No confirmed outside medical: Not caused during ride,2004,"0, TX"
2000,916719,2006-06-10,OH,0,P,Ohio Dept. of Agriculture,Carnival or rental,recreation,inflatable,Inflatable slide,inflatable slide,0,1,12.0,F,Patron fell from an inflatable slide. Concussion and broken wrist.,Concussion and broken wrist,0,Fall: in climb or play area,False,False,False,0,2006,"0, OH"
10519,904967,2000-09-03,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Claw-type,Spin Out,AmTech Amusements (Tivoli),1,30.0,F,Guest had her head turned to the side while talking to her friend as the shoulder harness was lowered. This pushed her head down and to the side.,Pain unknown,0,Load/Unload: hit or pinched by restraint,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
8406,906393,2001-09-03,NJ,0,0,New Jersey Dept. of Community Affairs,Amusement park,recreation,play equipment,Slide,dry slide,Aero-Mar Plastics,1,35.0,F,Guest stated that she went down the slide and upon striking the wall at the end she heard her ankle snap.,Fracture,0,Impact: hit something in participatory attraction,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
9024,918502,2001-07-30,CA,Redlands,F,California Division of Occupational Safety and Health,Amusement park,water park,wave device,Wave pool,wave pool,WhiteWater West Industries Ltd.,1,13.0,M,"Guest alleges getting off ride, scraped hand complaining of pain in right hand. Treated laceration with butterfly and bandage. Suggest guest seek further medical attention.",right hand pain,0,Impact: hit something in participatory attraction,False,False,False,0,2001,"Redlands, CA"
4414,914136,2004-07-11,NJ,Clementon,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Himalaya-type,Thunderbolt,"Chance Manufacturing, Inc.",1,9.0,M,Patrons mother stated that patron was side of Thnderbolt car when mother leaned on car and the lap bar banged the boy in the head.,Head,0,Load/Unload: hit or pinched by restraint,False,False,False,"Inadvertent Rider Mishap, Product failure",2004,"Clementon, NJ"
7556,909471,2002-06-23,TX,ARLINGTON,F,Texas Dept. of Insurance,Amusement park,amusement ride,spinning,Carousel,carousel,Dentzel,1,34.0,M,Tripped on step in queue line,Laceration,0,Load/Unload: scrape or stumble,False,False,False,No confirmed medical,2002,"ARLINGTON, TX"
11597,905893,2000-07-01,NJ,Orlando,P,New Jersey Dept. of Community Affairs,Carnival or rental,recreation,play equipment,Slide,dry slide,0,1,5.0,F,"Guest was sliding down and trying to hold on, receiving a burn.","Friction burn on 5th finger, right hand",0,Burn (includes friction burn),False,False,False,Inadvertent Rider Mishap,2000,"Orlando, NJ"
4876,914008,2004-04-24,NJ,Williamstown,P,New Jersey Dept. of Community Affairs,Carnival or rental,amusement ride,spinning,Sizzler/scrambler,Sizzler,"Wisdom Industries, Ltd.",1,7.0,M,Patron had been riding the Super Sizzler and hit his left ear on the side of the seat. The eatr was red and swelling. There was no blood or open wound. Ice was applied and the father wanted to have his son looked at. He said he was going to take him to Salem Hospital.,0,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2004,"Williamstown, NJ"
10378,909130,2001-01-20,MI,0,F,Michigan Dept. of Labor and Economic Growth,Sports or recreation facility,recreation,alpine activity,Snow tubing/toboggan,snow toboggan,0,1,15.0,M,0,"Bruise(s), hurt wrist",0,Impact: hit something in participatory attraction,False,False,False,0,2001,"0, MI"
11126,905497,2000-07-24,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Himalaya-type,Musik Express,Bertazzon 3B SLR,1,9.0,F,While on the ride the child bumped her tooth on the lap bar.,Tooth injury,0,Impact: hit something within ride vehicle,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
4379,919848,2004-07-14,CA,Santa Clara,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,coaster,Coaster - family/kiddie,family/kiddie coaster,Intamin AG,1,0.0,U,Unknown,Unknown,0,Unknown (not enough info),False,False,False,0,2004,"Santa Clara, CA"
5903,909965,2003-06-14,NJ,Jackson,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Water slide - undefined,waterslide,Pro Slide,1,8.0,U,Guest stated she came out of tube during slide.,0,0,"Fall: patron fell off inner tube, mat or board",False,False,False,0,2003,"Jackson, NJ"
9463,907091,2001-07-07,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,recreation,go-kart,Go-kart,Formula K,"Formula K Raceway, Inc.",1,6.0,M,Patron stated he was driving a Go Kart when instructed to stop another guest hit them from the side.,Pain,0,Collision: patron-controlled vehicles,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
6491,911264,2002-09-20,NJ,N. Wildwood,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Bumper car,bumper cars,Bertazzon 3B SLR,1,11.0,F,Guest states that she was struck by another guest who was in second car on  the side.  Guest states her neck moved side to side.,Sprain,0,Collision: patron-controlled vehicles,False,False,False,0,2002,"N. Wildwood, NJ"
11747,906014,2000-06-22,NJ,0,P,New Jersey Dept. of Community Affairs,Carnival or rental,amusement ride,coaster,Coaster - steel,Zyklon,Pinfari,1,39.0,M,"Car was moving up 1st hill, chain jerked car, causing back pain.",Lower back,0,Abrupt stop/drop/lurch,False,False,False,Product failure,2000,"0, NJ"
2768,918117,2005-08-10,CA,Buena Park,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,spinning,Flipping platform,Top Spin,Huss Rides,1,30.0,F,"Guest got off of the ride and slid on the floor, striking face on railing. Laceration to area above upper lip and inside of lower lip.",laceration to lips,0,Load/Unload: scrape or stumble,False,False,False,0,2005,"Buena Park, CA"
3160,914655,2005-07-07,NJ,Seaside Heights,F,New Jersey Dept. of Community Affairs,Amusement park,water park,water slide,Tube slide,tube slide,Waterworld Products Inc.,1,10.0,U,Scaped left elbow,0,0,Impact: hit something in participatory attraction,False,False,False,Inadvertent Rider Mishap,2005,"Seaside Heights, NJ"
3116,916614,2005-07-11,PA,0,F,Pennsylvania Dept. of Agriculture,Amusement park,water park,aquatic play,Aquatic play area,water play structure,0,1,6.0,M,Patron fell while inside the maze,Laceration above right eye,0,Fall: in climb or play area,False,False,False,0,2005,"0, PA"
3645,918697,2005-04-16,CA,San Diego,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Flume ride,water coaster ride,Mack Rides,1,54.0,F,"Holding on to the bar in front of her while going down the first drop, guest's hand slipped between the bar and the seat. She hit the back of the seat quite hard, hand is sore from gripping.",hand pain,0,Impact: hit something within ride vehicle,False,False,False,0,2005,"San Diego, CA"
11400,905717,2000-07-09,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,pendulum,Giant swing,Skycoaster,"Skycoaster, Inc.",1,28.0,F,Patron states she fell from standing position.,Shoulder pain,0,Load/Unload: scrape or stumble,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
1356,914372,2006-08-23,NJ,Clementon,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - wooden,wooden coaster,S&S Worldwide,1,24.0,U,Patron exiting ride banged knee on roller coaster car.,0,0,Impact: hit something within ride vehicle,False,False,False,0,2006,"Clementon, NJ"
223,917934,2007-12-14,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Flume ride,flume ride,In-house,1,8.0,F,"Guest sat in front seat and ducked at the bottom of the last drop, causing small forehead laceration.",cut to forehead,0,Impact: hit something within ride vehicle,False,False,False,0,2007,"Anaheim, CA"
11973,906204,2000-05-31,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,inverted coaster,Bolliger & Mabillard,1,11.0,M,Guest stated that his neck began hurting after the ride.  The ride completed a full cycle.,Neck pain after ride,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
11731,906001,2000-06-23,NJ,Seaside Heights,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,coaster,Coaster - steel,wild mouse,"Miler Coaster, Inc.",1,11.0,M,"Sitting in back seat of car in station, bar came down and scraped right knee.",Scrape to right knee,0,Load/Unload: hit or pinched by restraint,False,False,False,Inadvertent Rider Mishap,2000,"Seaside Heights, NJ"
9499,907120,2001-07-05,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,vertical drop,Drop tower,Jumpin' Star,Zamperla,1,6.0,F,Patron fell while getting off ride.,Knee pain,0,Load/Unload: scrape or stumble,False,False,False,Inadvertent Rider Mishap,2001,"0, NJ"
4290,914154,2004-07-21,NJ,South Amboy,P,New Jersey Dept. of Community Affairs,Carnival or rental,recreation,play equipment,Play structure,play structure,Party Outfitters,1,0.0,F,Girl entered Swamper Stomper. She fell after entering the second obstacle (pop up poles) and landed on her arm.,0,0,Fall: in climb or play area,False,False,False,"Loss of Control by Rider, Product failure",2004,"South Amboy, NJ"
649,916120,2007-07-20,NJ,Seaside Heights,F,New Jersey Dept. of Community Affairs,Amusement park,water park,water slide,Tube slide,tube slide,Waterworld Products Inc.,1,0.0,M,Pt. riolled over in duble tubes.,0,0,Impact: hit something in participatory attraction,False,False,False,Loss of Control by Rider,2007,"Seaside Heights, NJ"
11061,905451,2000-07-30,NJ,0,F,New Jersey Dept. of Community Affairs,Water park,water park,water slide,Tube slide,tube slide,Surf Coaster,1,7.0,F,Guest's neck snspped back when father jumped off tube.,Strained neck,0,Body pain (normal motion),False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
301,916539,2007-09-30,TX,0,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Schwarzkopf  Rides,1,10.0,M,Contusion,Turned in seat and hit head during ride,0,Impact: hit something within ride vehicle,False,False,False,0,2007,"0, TX"
1328,918403,2006-08-29,CA,Carlsbad,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Preston & Barbieri,1,57.0,M,57 year old male was exiting out of the attraction when he rolled his left ankle and knee.,rolled ankle and knee,0,Load/Unload: scrape or stumble,False,False,False,0,2006,"Carlsbad, CA"
10873,905282,2000-08-10,NJ,0,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,other attraction,Walk-through,fun house,Show Me Manufacturing Co.,1,4.0,F,Child was walking towards ride and fell because she was unsupervised. She hit side of right eye on suuport for stairs.,Cut on side of right eye,0,Load/Unload: scrape or stumble,False,False,False,Inadvertent Rider Mishap,2000,"0, NJ"
10084,898279,2001-05-26,OK,OKC,F,Oklahoma Dept. of Labor,Amusement park,amusement ride,coaster,Coaster - steel,Galaxi,SDC,1,11.0,F,Rider hit mouth on bar at last curve.,"Trauma to front teeth and cut on gum line, first aid.",0,Impact: hit something within ride vehicle,False,False,False,0,2001,"OKC, OK"
9046,900986,2001-07-28,TX,0,F,Texas Dept. of Insurance,Amusement park,amusement ride,coaster,Coaster - steel,steel sitdown coaster,Morgan,1,48.0,F,Unknown,Strain,0,Body pain (normal motion),False,False,False,0,2001,"0, TX"
17,919074,2008-09-26,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,vertical drop,Drop tower,drop tower,S&S Worldwide,1,42.0,F,Guest stated her left shoulder hit the restraint during ride.,Shoulder injury. Treated at local hospital.,0,Impact: hit something within ride vehicle,False,False,False,0,2008,"Anaheim, CA"
8800,901013,2001-08-10,TX,0,F,Texas Dept. of Insurance,Water park,water park,water slide,Water coaster,water coaster waterslide,0,1,9.0,F,Bumped shoulder while on ride,Pain to left shoulder,0,Impact: hit something in participatory attraction,False,False,False,Precautionary transport for treatment by a physician,2001,"0, TX"
3714,912187,2005-03-05,FL,Sanford,F,Florida Dept. of Agriculture,Zoo or museum,amusement ride,cars & track rides,Train/tram,train,0,3,0.0,U,3 adult males received minor injuries due to rear train car derailment.,Only one patron requested transport to hospital for examination.,0,Derailment,True,False,False,"Investigation was conducted by the bureau revealing incident occurred at a motor vehicle crossing section of the track with several possibilities that could have contributed to the car derailing. No definite cause has been established. One possibility could have been debris on the track, the other contributing factor could have been elevation and alignment issues of the track resulting from motor vehicles crossing track section or heavy rains. Owner had track reworked and will increase routine inspections of track and crossing.",2005,"Sanford, FL"
6053,909933,2003-05-25,NJ,Pt. Pleasant,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,cars & track rides,Train/tram,C.P. Huntington Train,"Chance Manufacturing, Inc.",1,0.0,U,"As per patron, she was walking across the track, she head the bell and whistle but attributed them to other boardwalk noises. The train struck her right shin.",0,0,Impact: person hit by ride,False,False,False,Investigated by State Officials,2003,"Pt. Pleasant, NJ"
1217,917038,2006-10-21,FL,0,P,Florida Dept. of Agriculture,Carnival or rental,amusement ride,spinning,Rotor/gravitron,Gravitron/Starship,"Wisdom Industries, Ltd.",1,44.0,M,"A 44 year old male sustained a small cut to back of head while riding on the amusment ride, Starship 2000.",Cut to head,0,Impact: hit something within ride vehicle,False,False,False,PATRON-FAILED TO FOLLOW INSTRUCTIONS,2006,"0, FL"
3305,914573,2005-06-22,NJ,Pt. Pleasant Beach,F,New Jersey Dept. of Community Affairs,Amusement park,amusement ride,spinning,Tornado-type,Tornado,"Wisdom Industries, Ltd.",1,7.0,U,Mother stated that the ride stopped very abrubtly causeing Erin to bump against the lap bar.,0,0,Abrupt stop/drop/lurch,False,False,False,Inadvertent Rider Mishap,2005,"Pt. Pleasant Beach, NJ"
